County,Constituency_name,Ward
MOMBASA,changamwe,port reitz
,changamwe,kipevu
,changamwe,airport
,changamwe,changamwe
,changamwe,chaani
,jomvu,jomvu kuu
,jomvu,miritini
,jomvu,mikindani
,kisauni,mjambere
,kisauni,junda
,kisauni,bamburi
,kisauni,mwakirunge
,kisauni,mtopanga
,kisauni,magogoni
,kisauni,shanzu
,nyali,frere town
,nyali,ziwa la ng'ombe
,nyali,mkomani
,nyali,kongowea
,nyali,kadzandani
,likoni,mtongwe
,likoni,shika adabu
,likoni,bofu
,likoni,likoni
,likoni,timbwani
,mvita,mji wa kale/makadara
,mvita,tudor
,mvita,tononoka
,mvita,shimanzi/ganjoni
,mvita,majengo
KWALE,msambweni,gombatobongwe
,msambweni,ukunda
,msambweni,kinondo
,msambweni,ramisi
,lungalunga,pongwekikoneni
,lungalunga,dzombo
,lungalunga,mwereni
,lungalunga,vanga
,matuga,tsimba golini
,matuga,waa
,matuga,tiwi
,matuga,kubo south
,matuga,mkongani
,kinango,nadavaya
,kinango,puma
,kinango,kinango
,kinango,mackinnon-road
,kinango,chengoni/samburu
,kinango,mwavumbo
,kinango,kasemeni
KILIFI,kilifi north,tezo
,kilifi north,sokoni
,kilifi north,kibarani
,kilifi north,dabaso
,kilifi north,matsangoni
,kilifi north,watamu
,kilifi north,mnarani
,kilifi south,junju
,kilifi south,mwarakaya
,kilifi south,shimo la tewa
,kilifi south,chasimba
,kilifi south,mtepeni
,kaloleni,mariakani
,kaloleni,kayafungo
,kaloleni,kaloleni
,kaloleni,mwanamwinga
,rabai,mwawesa
,rabai,ruruma
,rabai,kambe/ribe
,rabai,rabai/kisurutini
,ganze,ganze
,ganze,bamba
,ganze,jaribuni
,ganze,sokoke
,malindi,jilore
,malindi,kakuyuni
,malindi,ganda
,malindi,malindi town
,malindi,shella
,magarini,marafa
,magarini,magarini
,magarini,gongoni
,magarini,adu
,magarini,garashi
,magarini,sabaki
TANA RIVER,garsen,kipini east
,garsen,garsen south
,garsen,kipini west
,garsen,garsen central
,garsen,garsen west
,garsen,garsen north
,galole,kinakomba
,galole,mikinduni
,galole,chewani
,galole,wayu
,bura,chewele
,bura,bura
,bura,bangale
,bura,sala
,bura,madogo
LAMU,lamu east,faza
,lamu east,kiunga
,lamu east,basuba
,lamu west,shella
,lamu west,mkomani
,lamu west,hindi
,lamu west,mkunumbi
,lamu west,hongwe
,lamu west,witu
,lamu west,bahari
TAITA TAVETA,taveta,chala
,taveta,mahoo
,taveta,bomeni
,taveta,mboghoni
,taveta,mata
,wundanyi,wundanyi/mbale
,wundanyi,werugha
,wundanyi,wumingu/kishushe
,wundanyi,mwanda/mgange
,mwatate,rong'e
,mwatate,mwatate
,mwatate,bura
,mwatate,chawia
,mwatate,wusi/kishamba
,voi,mbololo
,voi,sagalla
,voi,kaloleni
,voi,marungu
,voi,kasigau
,voi,ngolia
GARISSA,garissa township,waberi
,garissa township,galbet
,garissa township,township
,garissa township,iftin
,balambala,balambala
,balambala,danyere
,balambala,jara jara
,balambala,saka
,balambala,sankuri
,lagdera,modogashe
,lagdera,benane
,lagdera,goreale
,lagdera,maalimin
,lagdera,sabena
,lagdera,baraki
,dadaab,dertu
,dadaab,dadaab
